DayID,Date
1,2/1/2025 12:00:00 AM
2,2/2/2025 12:00:00 AM
3,2/3/2025 12:00:00 AM
4,2/4/2025 12:00:00 AM
5,2/5/2025 12:00:00 AM
6,2/6/2025 12:00:00 AM
7,2/7/2025 12:00:00 AM
8,2/8/2025 12:00:00 AM
9,2/9/2025 12:00:00 AM
10,2/10/2025 12:00:00 AM
11,2/11/2025 12:00:00 AM
12,2/12/2025 12:00:00 AM
13,2/13/2025 12:00:00 AM
14,2/14/2025 12:00:00 AM
15,2/15/2025 12:00:00 AM
16,2/16/2025 12:00:00 AM
17,2/17/2025 12:00:00 AM
18,2/18/2025 12:00:00 AM
19,2/19/2025 12:00:00 AM
20,2/20/2025 12:00:00 AM
21,2/21/2025 12:00:00 AM
22,2/22/2025 12:00:00 AM
23,2/23/2025 12:00:00 AM
24,2/24/2025 12:00:00 AM
25,2/25/2025 12:00:00 AM
26,2/26/2025 12:00:00 AM
27,2/27/2025 12:00:00 AM
28,2/28/2025 12:00:00 AM
